slug,name,match_status
360-soc,360 SOC,matched_solution_providers
8x8,8x8,matched_solution_providers
acc-business,ACC Business,matched_solution_providers
adobe,Adobe,matched_solution_providers
airespring,AireSpring,matched_solution_providers
answer-hero,Answer Hero,matched_solution_providers
appdirect,AppDirect,matched_solution_providers
appdirect-marketplace,AppDirect Marketplace,matched_solution_providers
comcast,Comcast,matched_solution_providers
dialpad,Dialpad,matched_solution_providers
effortless-office,Effortless Office,matched_solution_providers
entelegent-solutions,EnTelegent Solutions,matched_solution_providers
epic-io,EPIC iO,matched_solution_providers
for2fi,For2Fi,matched_solution_providers
goexceed,GoExceed,matched_solution_providers
goto,GoTo,matched_solution_providers
granite,Granite,matched_solution_providers
infinite-wireless,Infinite Wireless,matched_solution_providers
lumen,Lumen,matched_solution_providers
managed-solution,Managed Solution,matched_solution_providers
metronet,MetroNet,matched_solution_providers
mettel,MetTel,matched_solution_providers
microsoft,Microsoft,matched_solution_providers
net2phone,Net2Phone,matched_solution_providers
new-horizon-communications,New Horizon Communications,matched_solution_providers
nextiva,Nextiva,matched_solution_providers
nhc,NHC,matched_solution_providers
nitel,Nitel,matched_solution_providers
powernet,Powernet,matched_solution_providers
quest-technology-management,Quest Technology Management,matched_solution_providers
ringcentral,RingCentral,matched_solution_providers
simplicity-voip,Simplicity VoIP,matched_solution_providers
spectrotel,Spectrotel,matched_solution_providers
spectrum,Spectrum,matched_solution_providers
vonage,Vonage,matched_solution_providers
11-11-systems,11:11 Systems,new_from_sheet
123net,123Net,new_from_sheet
1440,1440,new_from_sheet
1547-critical-systems-realty,1547 Critical Systems Realty,new_from_sheet
1wire-fiber,1Wire Fiber,new_from_sheet
2talk,2talk,new_from_sheet
365-data-centers,365 Data Centers,new_from_sheet
3cx,3CX,new_from_sheet
4voice,4Voice,new_from_sheet
911inform,911inform,new_from_sheet
abundant-iot,Abundant IoT,new_from_sheet
accelecom,Accelecom,new_from_sheet
accelnet,AccelNet,new_from_sheet
accent,Accent,new_from_sheet
access-one-managed-it,Access One Managed IT,new_from_sheet
accucode,Accucode,new_from_sheet
acd-direct,ACD Direct,new_from_sheet
acd-net,ACD.Net,new_from_sheet
acrisure-cyber-services,Acrisure Cyber Services,new_from_sheet
actzero-now-watchguard,ActZero (now WatchGuard),new_from_sheet
ada,Ada,new_from_sheet
adigo,Adigo,new_from_sheet
advantix,Advantix,new_from_sheet
affirma,Affirma,new_from_sheet
agentic-cyber-ai-llc,"Agentic Cyber Ai, LLC",new_from_sheet
agileblue,AgileBlue,new_from_sheet
aircall,Aircall,new_from_sheet
airtel,Airtel,new_from_sheet
akamai-technologies-inc,"Akamai Technologies, Inc.",new_from_sheet
alaska-communications,Alaska Communications,new_from_sheet
aligned-technology-group,Aligned Technology Group,new_from_sheet
alkira,Alkira,new_from_sheet
allegiance-merchant-services,Allegiance Merchant Services,new_from_sheet
allgress,Allgress,new_from_sheet
allied-telecom-group-llc,"Allied Telecom Group, LLC",new_from_sheet
allo-fiber,ALLO Fiber,new_from_sheet
altafiber-cincinnati-bell,Altafiber (Cincinnati Bell),new_from_sheet
altaworx,Altaworx,new_from_sheet
alvaria,Alvaria,new_from_sheet
amazon-leo,Amazon Leo,new_from_sheet
american-cyber-security-management,American Cyber Security Management,new_from_sheet
american-tower,American Tower,new_from_sheet
americaneagle-managed-cloud-services,AmericanEagle Managed Cloud Services,new_from_sheet
ami-strategies,AMI Strategies,new_from_sheet
ancero,Ancero,new_from_sheet
andx,ANDX,new_from_sheet
anexia,Anexia,new_from_sheet
anywhere365,Anywhere365,new_from_sheet
aodocs,AODocs,new_from_sheet
apeiron,Apeiron,new_from_sheet
apio,APIO,new_from_sheet
appdirect-advisor-storefront,AppDirect Advisor Storefront,new_from_sheet
appgate,AppGate,new_from_sheet
aptum-managed-services-canada-inc,Aptum Managed Services (Canada) Inc.,new_from_sheet
apx-net,APX Net,new_from_sheet
arelion,Arelion,new_from_sheet
arelion-formerly-telia-carrier,Arelion formerly Telia Carrier,new_from_sheet
ariento-inc,Ariento Inc.,new_from_sheet
ark-data-centers,ark data centers,new_from_sheet
armor-defence,Armor Defence,new_from_sheet
armor-point,Armor Point,new_from_sheet
artcom-communications,ArtCom Communications,new_from_sheet
arvig,Arvig,new_from_sheet
aryaka,Aryaka,new_from_sheet
ascend-technologies,Ascend Technologies,new_from_sheet
ascent-business-partners,Ascent Business Partners,new_from_sheet
assured-data-protection,Assured Data Protection,new_from_sheet
astound-business-solutions,Astound Business Solutions,new_from_sheet
astreon,Astreon,new_from_sheet
at-t,AT&T,new_from_sheet
atlantech-online,Atlantech Online,new_from_sheet
atlas-network,Atlas Network,new_from_sheet
audiocodes,AudioCodes,new_from_sheet
aura-wireless,Aura Wireless,new_from_sheet
avail,Avail,new_from_sheet
avaya,Avaya,new_from_sheet
avaya-aco,Avaya ACO,new_from_sheet
avepoint,AvePoint,new_from_sheet
aviture,Aviture,new_from_sheet
aws,AWS,new_from_sheet
axcient,Axcient,new_from_sheet
azuga,Azuga,new_from_sheet
bai-connect-now-zentro,BAI Connect (now Zentro),new_from_sheet
balto,Balto,new_from_sheet
barracuda,Barracuda,new_from_sheet
bce-nexxia,BCE Nexxia,new_from_sheet
bcmone,BCMOne,new_from_sheet
bcn,BCN,new_from_sheet
beanfield-metroconnect,Beanfield MetroConnect,new_from_sheet
beanfield-technologies-inc,Beanfield Technologies Inc.,new_from_sheet
bell-canada,Bell Canada,new_from_sheet
beyondreach,BeyondReach,new_from_sheet
bh-iot,BH IoT,new_from_sheet
big-fiber,Big Fiber,new_from_sheet
bigleaf-networks,Bigleaf Networks,new_from_sheet
bitdefender,Bitdefender,new_from_sheet
bland-ai,Bland.AI,new_from_sheet
blm-technologies-dba-teksetra,BLM Technologies dba Teksetra,new_from_sheet
blue-mantis,Blue Mantis,new_from_sheet
blue-stream-fiber,Blue Stream Fiber,new_from_sheet
blue-team-alpha,Blue Team Alpha,new_from_sheet
blueally,BlueAlly,new_from_sheet
bluebird-network-llc,Bluebird Network LLC,new_from_sheet
blueline-telecom,BlueLine Telecom,new_from_sheet
bluip,BluIP,new_from_sheet
box-broker-online-exchange,BOX Broker Online Exchange,new_from_sheet
brainscale,Brainscale,new_from_sheet
brainstorm,BrainStorm,new_from_sheet
breezeline,Breezeline,new_from_sheet
bridgeconnex,BridgeConnex,new_from_sheet
bridgepointecx,BridgePointeCX,new_from_sheet
brightfin,Brightfin,new_from_sheet
brightspeed,BrightSpeed,new_from_sheet
broadvoice,Broadvoice,new_from_sheet
